gene,log2FC,p_val,p_val_adj,cluster
AT2G46890,5.5622168,0.0,0.0,1
AT3G48185,5.308359,0.0,0.0,1
AT2G40480,4.601549,0.0,0.0,1
AT1G25530,5.8392797,0.0,0.0,1
AT5G57770,5.3686366,0.0,0.0,1
AT1G52190,4.8494515,0.0,0.0,1
AT4G14650,6.119307,0.0,0.0,1
AT3G48970,5.9834085,0.0,0.0,1
AT1G19960,5.486783,0.0,0.0,1
AT5G02440,4.9026456,0.0,0.0,1
AT1G48070,6.3131804,0.0,0.0,6
AT1G07175,5.2532206,0.0,0.0,6
AT3G04320,5.0870194,0.0,0.0,6
AT2G35770,5.38408,0.0,0.0,6
AT1G01580,5.014509,0.0,0.0,6
AT4G15300,5.1080427,0.0,0.0,6
AT3G54800,5.4391127,0.0,0.0,6
AT4G01240,4.393945,0.0,0.0,6
AT2G43610,5.7816286,0.0,0.0,6
AT2G16060,4.1635914,0.0,0.0,6
AT5G60520,5.548173,0.0,0.0,10
AT5G35940,4.982056,0.0,0.0,10
AT4G23590,4.9317923,0.0,0.0,10
AT2G25980,4.1113243,0.0,0.0,10
AT5G62340,4.9856215,0.0,0.0,10
AT1G33750,4.644317,0.0,0.0,10
AT3G16450,4.675313,0.0,0.0,10
AT5G13870,4.4663796,0.0,0.0,10
AT1G52690,5.31287,0.0,0.0,10
AT2G43535,4.2680473,0.0,0.0,10
AT2G14095,8.748364,0.0,0.0,12
AT1G26820,8.788848,0.0,0.0,12
AT5G04200,9.102288,0.0,0.0,12
AT4G13890,8.387811,0.0,0.0,12
AT2G11810,6.6591725,0.0,0.0,12
AT1G27110,8.793998,0.0,0.0,12
AT1G62935,8.236369,0.0,0.0,12
AT5G01220,6.289086,0.0,0.0,12
AT2G31130,5.9100714,1.3944550292105e-310,6.197577907602292e-308,12
AT2G37540,7.6570683,1.7954036046123e-310,6.664875988659862e-308,12
AT4G15680,6.412601,0.0,0.0,7
AT4G38580,3.5019855,0.0,0.0,7
AT1G79430,5.0646796,0.0,0.0,7
AT4G29230,3.1252837,0.0,0.0,7
AT4G34590,3.1602314,0.0,0.0,7
AT3G15353,7.226547,0.0,0.0,7
AT3G12730,7.4871197,0.0,0.0,7
AT4G27450,4.2702837,0.0,0.0,7
AT5G04370,7.199867,0.0,0.0,7
AT5G04080,6.7828617,0.0,0.0,7
AT1G12090,5.5255265,0.0,0.0,3
AT3G21670,5.5996127,0.0,0.0,3
AT5G13930,4.4069495,0.0,0.0,3
AT1G62510,5.316122,0.0,0.0,3
AT2G45180,4.9108005,0.0,0.0,3
AT5G08640,3.606655,0.0,0.0,3
AT3G51240,3.483314,0.0,0.0,3
AT5G65380,4.839748,0.0,0.0,3
AT3G23530,3.2045884,0.0,0.0,3
AT3G55120,3.5525377,0.0,0.0,3
AT1G53680,6.7018695,0.0,0.0,9
AT5G49270,6.5992336,0.0,0.0,9
AT1G27740,6.179653,0.0,0.0,9
AT1G01750,6.37339,0.0,0.0,9
AT2G41970,6.588856,0.0,0.0,9
AT4G01480,4.9323697,0.0,0.0,9
AT2G34910,5.884719,0.0,0.0,9
AT3G16390,6.0274363,0.0,0.0,9
AT3G54580,7.2409043,0.0,0.0,9
AT2G47540,5.896357,0.0,0.0,9
AT4G30280,5.518284,0.0,0.0,5
AT4G12545,6.0181932,0.0,0.0,5
AT1G14960,4.8604774,0.0,0.0,5
AT5G09978,5.9057183,0.0,0.0,5
AT3G28940,2.916985,0.0,0.0,5
AT2G43590,5.7167325,0.0,0.0,5
AT2G37130,5.0336676,0.0,0.0,5
AT1G14780,4.9481506,0.0,0.0,5
AT5G40590,5.95257,0.0,0.0,5
AT1G06120,6.259537,0.0,0.0,5
AT2G18800,6.2848334,0.0,0.0,0
AT3G61490,5.7450657,0.0,0.0,0
AT4G34620,2.2337282,0.0,0.0,0
AT5G07030,4.0121865,0.0,0.0,0
AT3G26610,5.4531217,0.0,0.0,0
AT4G28410,5.3570805,0.0,0.0,0
AT5G16570,3.8030348,0.0,0.0,0
AT4G23500,4.5383716,0.0,0.0,0
AT5G46730,4.2284656,0.0,0.0,0
AT5G44530,3.4659212,0.0,0.0,0
AT3G32980,7.6743546,0.0,0.0,4
AT4G11290,8.06994,0.0,0.0,4
AT2G14900,7.433994,0.0,0.0,4
AT1G05260,8.025706,0.0,0.0,4
AT5G57620,7.6091614,0.0,0.0,4
AT2G32300,7.9554625,0.0,0.0,4
AT5G03545,5.6930637,0.0,0.0,4
AT4G20140,5.883842,0.0,0.0,4
AT5G15290,7.3040395,0.0,0.0,4
AT2G48130,7.4883614,0.0,0.0,4
AT4G23410,6.7777023,0.0,0.0,8
AT1G13340,5.708336,0.0,0.0,8
AT1G26450,7.083382,0.0,0.0,8
AT5G37660,7.033059,0.0,0.0,8
AT3G15680,6.2429867,0.0,0.0,8
AT2G31083,7.3251886,0.0,0.0,8
AT3G14780,5.651146,0.0,0.0,8
AT3G11930,4.9902616,0.0,0.0,8
AT4G18340,5.113513,0.0,0.0,8
AT3G14570,5.1273875,0.0,0.0,8
AT4G22230,3.5791073,2.2703436165656152e-211,4.54068723313123e-208,13
AT1G74500,3.409576,1.5478262162715344e-210,2.063768288362046e-207,13
AT5G01330,3.173241,2.3117788941822623e-203,2.3117788941822623e-200,13
AT1G27950,3.5999837,3.660230352709246e-203,2.9281842821673965e-200,13
AT5G52750,4.3210626,6.148701532535032e-203,4.0991343550233545e-200,13
AT4G31550,2.517367,2.3931079642368774e-202,1.3674902652782157e-199,13
AT4G21850,2.866033,1.1364223791308045e-194,5.682111895654022e-192,13
AT2G33790,3.8230786,3.19728036758244e-194,1.4210134967033067e-191,13
AT5G44585,2.8970354,3.849961212994891e-190,1.5399844851979563e-187,13
AT1G65845,2.4346437,2.340836438758349e-189,8.512132504575815e-187,13
AT1G08283,7.7391205,0.0,0.0,11
AT5G03170,9.061619,0.0,0.0,11
AT2G04850,8.117388,0.0,0.0,11
AT5G60490,8.817379,0.0,0.0,11
AT1G67510,6.4443874,0.0,0.0,11
AT5G02640,7.3151846,0.0,0.0,11
AT3G51030,5.1348248,0.0,0.0,11
AT1G79620,8.233294,0.0,0.0,11
AT1G68810,7.1074615,0.0,0.0,11
AT2G40320,8.98288,0.0,0.0,11
AT1G60030,8.993005,4.864934300965667e-100,1.716277843591768e-97,14
AT1G11915,8.940956,4.993946428140811e-100,1.716277843591768e-97,14
AT1G29520,9.2701025,5.042669040140257e-100,1.716277843591768e-97,14
AT5G02460,6.764575,5.049059032460813e-100,1.716277843591768e-97,14
AT2G37590,7.737828,5.098318144044971e-100,1.716277843591768e-97,14
AT4G29920,7.2202973,5.141541759448269e-100,1.716277843591768e-97,14
AT4G13600,7.947608,5.15458000314525e-100,1.716277843591768e-97,14
AT3G45610,7.1670685,5.158933411408938e-100,1.716277843591768e-97,14
AT5G02140,9.709219,5.397268744706312e-100,1.716277843591768e-97,14
AT5G62940,9.044006,5.406388412519475e-100,1.716277843591768e-97,14
AT5G09510,3.1466377,0.0,0.0,2
AT3G02190,2.6991735,0.0,0.0,2
AT2G40590,3.1098092,0.0,0.0,2
AT3G23830,5.190934,0.0,0.0,2
AT1G15930,3.3210576,0.0,0.0,2
AT5G22440,3.521461,0.0,0.0,2
AT3G58700,3.7194622,0.0,0.0,2
AT3G45030,3.3479757,0.0,0.0,2
AT5G58420,3.3066242,0.0,0.0,2
AT1G48630,3.5975683,0.0,0.0,2
